,X,STATION,Station,State,DATE,TIME,HLY.CLDH.NORMAL,HLY.CLOD.PCTBKN,HLY.CLOD.PCTCLR,HLY.CLOD.PCTFEW,HLY.CLOD.PCTOVC,HLY.CLOD.PCTSCT,HLY.DEWP.10PCTL,HLY.DEWP.90PCTL,HLY.DEWP.NORMAL,HLY.HIDX.NORMAL,HLY.HTDH.NORMAL,HLY.PRES.10PCTL,HLY.PRES.90PCTL,HLY.PRES.NORMAL,HLY.TEMP.10PCTL,HLY.TEMP.90PCTL,HLY.TEMP.NORMAL,HLY.WCHL.NORMAL,HLY.WIND.1STDIR,HLY.WIND.1STPCT,HLY.WIND.2NDDIR,HLY.WIND.2NDPCT,HLY.WIND.AVGSPD,HLY.WIND.PCTCLM,HLY.WIND.VCTDIR,HLY.WIND.VCTSPD
2326,2326,USW00094008,GLASGOW INTERNATIONAL AIRPORT,MT,9-Sep,1,0.3,83,549,97,207,64,30.9,50,40.9,54.2,11.1,1,1,1,45,64.9,54.2,52.8,3,326,4,169,10.2,38,80,4.2
2327,2327,USW00014821,PORT COLUMBUS INTERNATIONAL AIRPORT,OH,20-Jul,11,14.5,269,91,133,294,213,54,72,64.1,81.3,-777.7,1,1,1,72,87.1,79.5,79.5,6,204,7,186,7.9,58,253,2.7
2328,2328,USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT,LA,16-Sep,10,18.1,310,176,136,171,207,63,77,71.1,88.7,-777.7,1,1,1,77,88,83.1,83.1,2,364,4,134,9.4,29,68,4.3
2329,2329,USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT,CT,11-Aug,18,12.8,259,170,168,273,131,51.1,71.1,61.8,78.5,0.1,1,1,1,69.1,86,77.6,77.6,5,263,8,207,7.7,38,224,2.9
2330,2330,USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT,NY,28-Jul,14,15.1,360,31,167,264,179,52,70,61.6,81.2,-777.7,1,1,1,72,88,80.1,80.1,8,258,7,236,9.6,22,283,4.9
2331,2331,USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT,WY,25-Jul,3,0.6,86,577,128,135,74,39,55,47.3,58.7,6.9,1,1,1,51.1,66.9,58.7,58.5,6,260,8,203,7,73,278,3.1
2332,2332,USW00014942,OMAHA EPPLEY AIRFIELD,NE,4-Jul,22,8.7,150,516,123,130,81,57,72,64.9,74.3,0.2,1,1,1,66,82,73.5,73.5,4,337,5,244,7.2,162,143,4.4
2333,2333,USW00094185,BURNS MUNICIPAL AIRPORT,OR,19-Sep,15,8.9,136,586,112,80,85,19,41,30,72,1.8,1,1,1,57.9,84.9,72,71.8,6,245,7,160,8.3,98,256,3.3
2334,2334,USW00094702,IGOR I SIKORSKY MEMORI AIRPORT,CT,30-Aug,12,10.1,190,316,190,204,101,48.2,70,60,75.5,0.1,1,1,1,68,81,75,75,6,271,4,155,11,7,198,2.1
2335,2335,USW00023036,AURORA BUCKLEY FIELD ANGB,CO,24-Sep,10,4.3,257,124,448,104,68,25,45.9,35.5,64.2,5.1,1,1,1,48.2,77,64.2,63.7,6,179,5,123,6.5,202,246,1.3
2336,2336,USW00013957,SHREVEPORT REGIONAL AIRPORT,LA,4-Aug,17,25.4,302,83,251,147,217,64,75,69.7,95.4,0,1,1,1,81,97,90.4,90.4,5,208,6,175,7.8,58,148,1.9
2337,2337,USW00023188,SAN DIEGO INTERNATIONAL AIRPORT,CA,20-Aug,6,3.3,153,72,102,595,77,57.9,66.9,62.5,68.1,0.2,1,1,1,64,72,68.1,68.1,1,287,8,203,5,111,323,1.8
2338,2338,USW00024128,WINNEMUCCA MUNICIPAL AIRPORT,NV,22-Aug,9,10.6,77,705,138,48,31,23,48,35,75.4,0.3,1,1,1,68,82,75.4,75.4,2,342,8,133,7.1,122,12,2.9
2339,2339,USW00014916,GRAND FORKS INTERNATIONAL AIRPORT,ND,23-Sep,2,0.1,121,490,136,232,20,31.1,53.1,42,47.1,17.9,1,1,1,35.1,59,47.1,44.2,5,194,7,183,8.7,57,250,2.1
2340,2340,USW00014837,MADISON DANE CO REGIONAL AIRPORT,WI,11-Aug,0,3,94,498,119,217,73,52,70,60.8,65.3,2.8,1,1,1,55.9,73,65.1,65.1,5,187,8,117,4.7,291,192,1.3
2341,2341,USW00003940,JACKSON INTERNATIONAL AIRPORT,MS,5-Aug,17,21.6,198,209,261,178,153,64,75,70.8,91.6,0,1,1,1,77,93.9,86.6,86.6,1,218,2,113,7,62,26,0.9
2342,2342,USW00094012,HAVRE AIRPORT ASOS,MT,1-Jul,4,0.2,NA,NA,NA,NA,NA,37,55,46.1,54.1,11.1,NA,NA,NA,46,62.1,54.1,53.3,6,345,3,136,6.7,195,217,1.8
2343,2343,USW00094910,WATERLOO MUNICIPAL AIRPORT,IA,21-Aug,10,9.3,152,367,133,269,79,54,72,63.3,74.8,0.2,1,1,1,66.9,82,74,74,5,226,4,171,9.4,49,164,2.5
2344,2344,USW00014742,BURLINGTON WEATHER SERVICE OFFICE AIRPORT,VT,14-Sep,0,1,141,350,87,359,63,42.1,63,52.4,58.1,8,1,1,1,46.9,70,58.1,57.7,5,255,3,125,6.7,181,160,2.3
2345,2345,USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT,OR,30-Jul,16,26.4,65,698,126,55,55,39.9,55.9,47.8,91.4,0,1,1,1,80.1,100.9,91.4,91.4,7,451,8,406,10.6,18,296,9.4
2346,2346,USW00024121,ELKO REGIONAL AIRPORT,NV,8-Aug,12,21.6,95,585,189,50,81,25,48,35.2,86.5,-777.7,1,1,1,79,93,86.5,86.5,6,346,5,234,8.6,65,218,6
2347,2347,USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT,NJ,6-Aug,5,6.4,210,125,206,337,122,54,72,64.3,71.2,0.3,1,1,1,64,77,71.1,71.1,6,276,1,179,6.6,76,312,1.5
2348,2348,USW00023051,CLAYTON MUNICIPAL AIR PARK,NM,6-Aug,6,1.5,NA,NA,NA,NA,NA,50,61,55.6,64.9,1.6,NA,NA,NA,60.1,70,64.9,64.9,6,309,7,237,8.2,67,256,4.5
2349,2349,USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT,TX,2-Jul,22,15.4,79,598,168,81,74,73,78.1,75.2,85.2,0,1,1,1,78.1,82.9,80.4,80.4,4,749,3,127,8.6,36,138,8
2350,2350,USW00014852,YOUNGSTOWN WARREN REGIONAL AIRPORT,OH,16-Jul,22,3.9,199,218,144,264,175,52,69.1,61.1,67.5,1.5,1,1,1,59,75,67.4,67.4,5,164,6,131,5.1,205,169,0.8
2351,2351,USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT,NY,22-Sep,6,0.5,204,83,131,408,174,39,61,49.8,53,12.5,1,1,1,42.1,64.9,53,51.9,3,228,4,150,5.9,160,185,1
2352,2352,USW00093729,CAPE HATTERAS BILLY MITCHELL FIELD,NC,25-Sep,15,11.4,142,409,149,228,72,52,73.4,64.3,77.8,-777.7,1,1,1,69.8,82,76.4,76.4,2,338,6,153,10.8,7,44,2.7
2353,2353,USW00093058,PUEBLO MEMORIAL AIRPORT,CO,17-Jul,3,1.1,72,735,103,75,14,44.1,60.1,52.8,63.4,2.9,NA,NA,NA,57.9,69.1,63.3,63.3,8,224,7,183,5.8,159,327,3
2354,2354,USW00014606,BANGOR INTERNATIONAL AIRPORT,ME,15-Jul,5,0.5,224,214,106,354,101,48.9,64.4,57.2,60.9,4.6,1,1,1,54,66.9,60.9,60.8,NA,NA,NA,NA,NA,NA,NA,NA
2355,2355,USW00022010,DEL RIO INTERNATIONAL AIRPORT,TX,22-Jul,10,19,NA,NA,NA,NA,NA,64.9,72,68.3,87.1,0,NA,NA,NA,79,88,84,84,4,711,5,134,9.2,15,136,8.6
2356,2356,USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT,CO,1-Sep,16,11.4,253,161,206,161,220,34,54,44.4,75.6,0.8,1,1,1,63,84.9,75.6,75.5,4,297,5,287,11.9,22,149,5.1
2357,2357,USW00024011,BISMARCK MUNICIPAL AIRPORT,ND,8-Sep,14,9.2,152,403,121,237,87,37.9,61,48.2,72.8,1.5,1,1,1,57.9,87.1,72.7,72.7,8,235,4,165,12.7,27,255,0.8
2358,2358,USW00093193,FRESNO YOSEMITE INTERNATIONAL,CA,14-Sep,18,20.4,90,564,204,30,111,39.9,55.9,48.4,85.4,-777.7,1,1,1,75.9,93.9,85.4,85.4,8,710,7,203,8.5,27,302,8
2359,2359,USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT,FL,6-Sep,1,13.9,203,178,227,108,284,71.1,75.9,73.7,81.4,0,1,1,1,75,82,78.9,78.9,4,195,3,186,5.8,247,117,2.5
2360,2360,USW00093821,LOUISVILLE INTERNATIONAL AIRPORT,KY,27-Aug,15,19.7,369,45,176,174,236,55,72,64.3,86.9,0,1,1,1,75,93,84.7,84.7,6,190,2,149,8.7,36,273,1.5
2361,2361,USW00014827,FORT WAYNE INTERNATIONAL AIRPORT,IN,6-Sep,13,11.7,249,144,226,221,160,46.9,69.1,58.6,77.3,0.1,1,1,1,66.9,86,76.6,76.5,6,228,7,154,9.2,52,253,2.5
2362,2362,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,10-Aug,21,5.9,164,406,189,85,155,34,53.1,42.9,69.8,1.1,1,1,1,60.1,79,69.8,69.8,6,425,5,148,6.8,124,214,3.7
2363,2363,USW00024229,PORTLAND INTERNATIONAL AIRPORT,OR,28-Aug,3,0.1,186,355,132,234,93,48.9,57.9,53.7,59.7,5.4,1,1,1,55,64,59.7,59.7,8,305,1,153,4.4,211,307,1.6
2364,2364,USW00093193,FRESNO YOSEMITE INTERNATIONAL,CA,8-Jul,3,5.6,42,834,58,37,30,45,60.1,53,70.2,0.4,1,1,1,63,77,70.2,70.2,8,694,1,97,6.1,167,316,5.9
2365,2365,USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT,PA,15-Sep,14,12,268,94,199,232,208,45,69.1,57.6,77.6,0.1,1,1,1,68,86,76.9,76.9,6,241,7,154,9.9,22,264,2.8
2366,2366,USW00014852,YOUNGSTOWN WARREN REGIONAL AIRPORT,OH,22-Jul,6,1.8,233,125,155,325,162,51.1,68,60.5,63.5,3.3,1,1,1,54,71.1,63.5,63.5,6,211,5,194,5.2,151,177,1.9
2367,2367,USW00013985,DODGE CITY REGIONAL AIRPORT,KS,9-Aug,9,11.6,133,514,118,198,38,57,68,63,77,0.2,1,1,1,66.9,84.9,76.5,76.5,5,328,6,209,12.8,22,183,5.8
2368,2368,USW00023154,ELY YELLAND FIELD AIRPORT,NV,24-Aug,9,8.2,122,628,141,57,52,23,51.1,36.8,72.6,0.6,1,1,1,63,80.1,72.6,72.6,5,386,6,163,8.2,136,183,6
2369,2369,USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD,AL,12-Jul,18,18.3,186,243,211,202,157,63,73.9,69.6,86.9,0,1,1,1,75,89.1,83.3,83.3,6,174,5,158,6.6,82,253,1.2
2370,2370,USW00014607,CARIBOU MUNICIPAL AIRPORT,ME,21-Aug,11,4.9,229,192,147,290,143,44.1,64.9,54.9,68.9,1.2,1,1,1,60.1,78.1,68.7,68.7,8,236,7,171,8.9,51,278,4.2
2371,2371,USW00094847,DETROIT METROPOLITAN AIRPORT,MI,12-Aug,10,9.5,272,158,172,239,160,52,71.1,61.9,75.1,0.1,1,1,1,66.9,81,74.3,74.3,6,180,7,144,8.5,54,271,1.8
2372,2372,USW00014891,MANSFIELD LAHM REGIONAL AIRPORT,OH,30-Aug,21,3,129,526,141,167,36,51.1,68,59.8,65.9,2.1,NA,NA,NA,57.9,73.9,65.9,65.8,2,191,5,159,5.7,168,136,0.9
2373,2373,USW00093738,WASHINGTON DULLES INTERNATIONAL AIRPORT,VA,20-Jul,16,20.5,357,32,169,239,202,55.9,73,65.6,88.4,-777.7,1,1,1,75.9,93.9,85.5,85.5,6,227,5,194,8.6,20,235,3
2374,2374,USW00024155,PENDLETON E OR REGIONAL AIRPORT,OR,6-Sep,10,6.5,122,571,135,86,86,36,51.1,43.2,70.5,1,1,1,1,61,80.1,70.5,70.5,7,425,8,202,7.8,139,269,6.7
2375,2375,USW00014944,SIOUX FALLS FOSS FIELD,SD,16-Aug,17,14.4,184,249,294,154,119,52,71.1,61.8,80.8,-777.7,1,1,1,70,88,79.3,79.3,5,255,4,200,11.3,20,154,3.3
2376,2376,USW00013970,BATON ROUGE RYAN AIRPORT,LA,23-Sep,15,19.1,243,191,196,162,208,52,73.9,64.6,86.9,-777.7,1,1,1,75.9,91,84.1,84.1,2,204,1,163,8,43,56,2.1
2377,2377,USW00024149,LEWISTON NEZ PERCE CO AIRPORT,ID,17-Sep,17,9.8,132,593,96,157,22,28.9,48.9,39,74.2,1.2,1,1,1,60.1,88,73.5,73.5,8,295,7,194,6.3,210,305,3.5
2378,2378,USW00024121,ELKO REGIONAL AIRPORT,NV,2-Sep,4,-777.7,NA,NA,NA,NA,NA,19.4,45,31.7,47.3,17.8,1,1,1,37,57,47.3,46.5,3,168,2,113,2.8,522,60,1
2379,2379,USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT,OR,10-Jul,13,19,62,714,86,69,69,39.9,55,47.8,83.9,0.1,1,1,1,73.9,93,83.9,83.8,8,406,7,268,7.1,46,306,5.6
2380,2380,USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT,TX,29-Jul,4,12.6,32,708,154,51,54,73,77,74.8,78.6,0,1,1,1,75,80.1,77.6,77.6,4,365,5,361,4.9,229,156,4.4
2381,2381,USW00013964,FORT SMITH REGIONAL AIRPORT,AR,1-Aug,7,10.3,121,504,160,198,17,64.9,75,70.7,76.1,-777.7,1,1,1,70,81,75.3,75.3,3,457,2,207,4.8,168,80,3.3
2382,2382,USW00013880,CHARLESTON INTL. AIRPORT,SC,31-Aug,15,19.5,270,77,197,279,177,64,75,70.6,89.3,-777.7,1,1,1,77,91,84.5,84.5,2,196,4,194,10.3,7,111,3
2383,2383,USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT,NV,5-Jul,3,17.1,115,665,122,33,65,25,55,38.4,82.1,-777.7,1,1,1,75,89.1,82.1,82.1,5,393,6,300,8.9,57,202,6.6
2384,2384,USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,6-Aug,0,10.8,244,242,214,154,145,70,75.9,72.9,76.3,0,1,1,1,73,79,75.8,75.8,6,200,5,150,3.5,369,214,1.5
2385,2385,USW00023036,AURORA BUCKLEY FIELD ANGB,CO,24-Jul,23,3.4,338,106,315,100,141,41,59,50.2,67,1.4,1,1,1,59.9,75,67,67,5,459,4,161,7.1,141,178,5.4
2386,2386,USW00094702,IGOR I SIKORSKY MEMORI AIRPORT,CT,17-Jul,21,8.7,147,403,147,239,64,55.9,72,64.8,73.9,0.1,1,1,1,69.1,78.8,73.6,73.6,6,313,7,167,7.3,58,231,2.5
2387,2387,USW00014840,MUSKEGON CO AIRPORT,MI,26-Sep,10,1.1,130,287,119,365,99,37.9,63,50.7,60,6.1,1,1,1,50,69.1,60,59.4,5,188,4,177,11.1,31,210,2.4
2388,2388,USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT,IL,10-Aug,13,17.7,211,272,143,167,207,55,75,65.7,85.9,-777.7,1,1,1,73.9,91,82.7,82.7,5,167,6,166,8.5,49,241,1.3
2389,2389,USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT,WA,22-Aug,9,0.9,250,174,128,349,99,48.9,57.9,53.4,62.7,3.2,1,1,1,57,69.1,62.7,62.7,6,282,5,251,7,42,217,2.3
2390,2390,USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT,MN,18-Jul,21,2.3,125,363,201,197,113,50,66.9,58.2,64.5,2.8,1,1,1,55.9,73,64.5,64.5,5,172,7,166,4.6,254,227,1.3
2391,2391,USW00004725,BINGHAMTON GREATER AP,NY,19-Jul,17,10.5,198,265,191,230,116,48.9,68,59.1,75.8,0.2,1,1,1,66,84,75.4,75.4,8,280,6,217,9.3,22,273,4.4
2392,2392,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,29-Jul,4,0.6,167,346,244,95,148,37,54,45.4,59.7,5.9,1,1,1,52,66.9,59.7,59.5,5,307,4,218,7.5,129,160,4.6
2393,2393,USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT,TX,1-Sep,0,13.1,199,365,199,144,94,63,73.9,69.2,79.4,0,1,1,1,73,82,78.1,78.1,4,325,5,271,6.3,134,147,4.2
2394,2394,USW00003870,GRNVL SPART INTERNATIONAL AIRPORT,SC,27-Aug,14,19,240,174,217,197,172,59,71.1,66,86.2,-777.7,1,1,1,75,91,84,84,2,272,6,217,8.1,33,88,1.1
2395,2395,USW00013733,LYNCHBURG INTERNATIONAL AIRPORT,VA,8-Sep,16,14.2,185,318,212,196,88,48,69.1,59.8,79.9,0.1,1,1,1,70,88,79.2,79.1,6,182,5,169,7,64,176,1.1
2396,2396,USW00013873,ATHENS BEN EPPS AIRPORT,GA,11-Sep,13,17.3,208,249,235,156,152,53.1,71.1,63.5,84.1,-777.7,1,1,1,73.9,90,82.3,82.2,3,227,2,193,7.4,81,74,1.9
2397,2397,USW00024153,MISSOULA INTERNATIONAL AIRPORT,MT,3-Sep,11,2.8,182,483,105,182,48,34,51.1,42.8,64.7,3.1,1,1,1,54,73,64.7,64.6,8,163,5,144,5.7,232,249,1.3
2398,2398,USW00026533,BETTLES AIRPORT,AK,22-Sep,20,0,248,85,112,444,112,17.1,41,29.6,38,27.1,1,1,1,28.4,48,37.9,34.4,1,169,2,167,5.1,240,48,1.5
2399,2399,USW00024128,WINNEMUCCA MUNICIPAL AIRPORT,NV,29-Sep,19,0.5,NA,NA,NA,NA,NA,14,42.1,27.5,56.7,8.8,1,1,1,46,66,56.7,55,2,144,1,120,5.8,220,354,0.4
2400,2400,USW00024128,WINNEMUCCA MUNICIPAL AIRPORT,NV,3-Aug,2,1.4,NA,NA,NA,NA,NA,21,46.9,33.6,60.6,5.8,1,1,1,51.1,70,60.6,60,4,174,2,159,6,161,104,1.8
2401,2401,USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT,MN,17-Aug,16,8.8,232,234,155,259,119,45,64.9,55.3,73.3,0.7,1,1,1,63,82.9,73.1,73.1,5,194,7,154,9.4,24,241,2.4
2402,2402,USW00014745,CONCORD MUNICIPAL AIRPORT,NH,7-Jul,6,1.3,128,389,97,322,64,50,66.9,58.3,62.1,4.2,1,1,1,54,70,62.1,62.1,8,131,5,124,2.8,501,244,0.3
2403,2403,USW00013984,CONCORDIA BLOSSER MUNICIPAL AIRPORT,KS,10-Sep,3,2.6,98,580,80,212,29,46,66,56.1,63.4,4.2,1,1,1,52,73.9,63.4,63.2,5,279,4,185,9.7,109,170,4.6
2404,2404,USW00013737,NORFOLK INTERNATIONAL AIRPORT,VA,8-Aug,7,10.7,219,240,191,205,147,64,75,70.3,76.3,0,1,1,1,71.1,80.1,75.7,75.7,6,337,2,144,7.4,126,235,1.5
2405,2405,USW00093058,PUEBLO MEMORIAL AIRPORT,CO,7-Aug,16,21.5,225,394,139,156,87,39,60.1,50.1,86.6,-777.7,1,1,1,73.9,96.1,86.5,86.5,4,344,3,213,12.1,16,101,5.3
2406,2406,USW00024021,LANDER HUNT FIELD AIRPORT,WY,16-Jul,2,1.7,76,684,111,92,37,28.9,48.9,39.9,63.1,3.7,1,1,1,55,71.1,63.1,63,6,308,7,272,6.1,147,245,4.3
2407,2407,USW00093815,DAYTON INTERNATIONAL AIRPORT,OH,4-Jul,14,15.9,337,81,145,224,212,50,71.1,61.6,82.5,-777.7,1,1,1,73,89.1,80.9,80.9,6,282,7,173,10.1,27,250,4.6
2408,2408,USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT,MD,23-Aug,14,17.7,326,60,162,227,225,52,71.1,63,84.4,-777.7,1,1,1,73.9,91,82.7,82.7,7,173,8,148,8.8,24,263,1.2
2409,2409,USW00093862,TUPELO REGIONAL AIRPORT,MS,11-Aug,21,12.7,137,510,192,99,63,64,75,70.4,79.4,-777.7,1,1,1,72,84,77.7,77.7,1,180,5,160,3.5,301,119,0.3
2410,2410,RQW00011641,SAN JUAN L M MARIN INTERNATIONAL AIRPORT,PR,1-Jul,4,13.5,193,267,320,39,182,71.1,75.9,73.6,79.9,0,1,1,1,75.9,81,78.5,78.5,3,405,4,278,4.7,238,106,4.4
2411,2411,USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT,FL,23-Sep,12,19.1,281,19,217,170,314,64.9,75,71,89.3,0,1,1,1,79,89.1,84.1,84.1,3,305,2,298,10,23,61,5.5
2412,2412,USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT,NV,14-Sep,16,27.5,151,405,279,40,126,21.9,53.1,37.7,92.5,-777.7,1,1,1,82.9,100,92.5,92.5,6,279,3,157,11,46,204,4.6
2413,2413,USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT,IL,17-Aug,6,2.6,148,387,136,274,56,53.1,70,61.8,64.6,2.9,1,1,1,55,73.9,64.6,64.6,3,172,6,121,4.4,319,155,0.8
2414,2414,USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT,ND,26-Jul,22,4.9,118,509,199,97,76,52,69.1,60.2,69,1.2,1,1,1,61,78.1,68.7,68.7,5,204,4,196,7.6,100,148,2.4
2415,2415,USW00003816,PADUCAH BARKLEY REGIONAL AIRPORT,KY,20-Sep,13,13.3,169,375,159,204,94,43,70,57.3,79.1,0.2,1,1,1,66.9,88,78.1,78.1,2,181,5,160,8.8,43,272,0.7
2416,2416,USW00023155,BAKERSFIELD AIRPORT,CA,26-Jul,15,31.8,53,824,76,21,25,45,61,52.9,96.9,0,1,1,1,89.1,104,96.8,96.8,8,768,7,187,11.8,2,305,11.4
2417,2417,USW00013899,PENSACOLA REGIONAL AIRPORT,FL,10-Jul,14,22.4,311,175,198,78,238,69.1,77,73,94.5,0,1,1,1,79,93.2,87.4,87.3,5,363,4,215,10.7,26,186,6.2
2418,2418,USW00023155,BAKERSFIELD AIRPORT,CA,28-Aug,10,18.7,46,838,69,25,23,46,60.1,53.4,83.7,-777.7,1,1,1,75.9,91,83.7,83.6,7,278,8,222,5.7,95,272,3.8
2419,2419,USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT,TN,27-Sep,23,2.3,111,525,102,189,73,46,69.1,58.1,63.4,3.9,1,1,1,54,73,63.4,63.3,5,128,1,121,2.5,569,12,0.7
2420,2420,USW00003812,ASHEVILLE AIRPORT,NC,24-Sep,14,7.8,239,306,157,206,92,42.1,64.9,54.7,72.3,0.6,1,1,1,63,81,72.2,72.2,5,213,4,211,8.2,47,347,1
2421,2421,USW00026533,BETTLES AIRPORT,AK,31-Jul,9,0.2,295,39,126,373,167,39.9,54,47.7,56,9.2,1,1,1,48.9,64,56,55.6,5,210,1,187,5.8,173,176,0.9
2422,2422,USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,CA,8-Aug,20,2.3,159,283,190,199,169,57,64.9,60.9,66.8,0.5,1,1,1,63,71.1,66.8,66.8,7,511,6,441,8.6,4,249,8.1
2423,2423,USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT,NM,3-Jul,20,15,380,139,100,215,167,27,57,43.2,80,-777.7,1,1,1,70,88,80,80,3,230,4,187,11.2,27,123,4.1
2424,2424,USW00093738,WASHINGTON DULLES INTERNATIONAL AIRPORT,VA,19-Jul,2,5.2,239,235,150,282,94,57.9,72,65.6,69.6,0.7,1,1,1,63,75,69.6,69.6,5,218,8,114,3.6,364,219,1
2425,2425,USW00024243,YAKIMA AIRPORT,WA,27-Jul,8,7.3,102,729,86,35,49,43,57,50.2,72.1,0.3,1,1,1,64,79,72.1,72.1,7,371,8,259,6.8,98,296,5.1
2426,2426,USW00013740,RICHMOND INTERNATIONAL AIRPORT,VA,5-Sep,14,17.3,324,81,141,262,192,52,71.1,62.5,84,-777.7,1,1,1,73,91,82.3,82.3,2,197,1,171,8.9,47,44,0.9
2427,2427,USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT,IN,31-Jul,13,16.9,258,39,195,269,239,55,73,65,84.5,-777.7,1,1,1,73.9,90,81.9,81.9,6,263,7,159,9.3,25,242,3.2
2428,2428,USW00093820,LEXINGTON BLUEGRASS AIRPORT,KY,29-Aug,13,15.9,210,233,205,226,126,53.1,71.1,63.4,82.5,-777.7,1,1,1,72,89.1,80.9,80.7,6,222,2,143,8.4,16,241,1.5
2429,2429,USW00013741,ROANOKE REGIONAL AIRPORT,VA,10-Sep,3,1.6,123,471,100,261,45,50,66.9,59,63.1,3.5,1,1,1,55,70,63.1,63.1,7,148,8,121,3.4,427,327,1.2
2430,2430,USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT,MO,3-Sep,16,18.1,225,124,236,204,211,50,72,62.1,85,-777.7,1,1,1,73,91.9,83.1,83.1,3,158,8,151,9,31,111,1
2431,2431,USW00023234,SAN FRANCISCO INTERNATIONAL AIRPORT,CA,6-Jul,6,0,230,201,174,282,112,48.9,55,51.7,56.5,8.5,1,1,1,54,60.1,56.5,56.5,7,489,8,266,8.2,78,275,7.3
2432,2432,USW00024018,CHEYENNE MUNICIPAL AIRPORT,WY,16-Jul,3,0.2,109,601,116,137,37,39,55,47.3,58.4,6.8,1,1,1,52,64.9,58.4,58.2,7,414,6,205,8.5,56,273,5.4
2433,2433,USW00023160,TUCSON INTERNATIONAL AIRPORT,AZ,9-Sep,14,28.7,120,375,293,43,169,39,62.1,51.1,93.8,0,1,1,1,86,100,93.7,93.7,8,183,6,149,8.6,47,242,1.5
2434,2434,USW00014768,ROCHESTER GREATER INTERNATIONAL,NY,3-Sep,4,1,167,291,108,341,93,46.9,66,56.1,59.6,6.4,1,1,1,50,69.1,59.6,59.4,6,467,5,181,6,120,214,3.6
2435,2435,USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT,CO,17-Sep,12,7,150,276,264,172,138,27,48,37.6,69.1,2.9,1,1,1,54,81,69.1,68.8,5,305,4,286,10.6,22,161,5
2436,2436,USW00014939,LINCOLN AIRPORT,NE,28-Jul,17,21.2,154,358,257,127,103,55.9,73,65,88.8,-777.7,1,1,1,75,97,86.2,86.2,5,290,4,162,11.2,18,153,3.5
2437,2437,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,TX,26-Aug,14,28.6,416,18,360,48,159,62.1,73,67.6,97.2,0,1,1,1,86,99,93.6,93.6,5,233,4,209,7.4,124,133,3.5
2438,2438,USW00093729,CAPE HATTERAS BILLY MITCHELL FIELD,NC,8-Jul,11,17.4,138,453,162,186,61,63,77,71.6,87.7,0,1,1,1,77,87.1,82.4,82.4,6,457,2,166,10.1,12,216,3.9
2439,2439,USW00022536,LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1,HI,26-Aug,0,12.4,340,34,243,140,243,66.9,73,69.9,77.6,0,1,1,1,75,79,77.4,77.4,2,562,3,317,13.5,0,59,12
2440,2440,USW00013876,BIRMINGHAM AIRPORT,AL,21-Jul,6,8.8,213,280,182,195,130,64.9,73.9,70,73.8,-777.7,1,1,1,70,77,73.7,73.7,2,128,6,107,2.8,513,182,0.6
2441,2441,USW00003927,DAL FTW WSCMO AIRPORT,TX,11-Sep,1,10.1,139,441,145,179,96,55,72,64.8,75.5,0.2,1,1,1,68,82,74.9,74.9,5,351,4,190,7.5,133,151,3.5
